"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260501","2호선","홍대입구","101927","115875","20260504",""
"20260501","2호선","합정","33645","37137","20260504",""
"20260501","2호선","당산","15896","16920","20260504",""
"20260501","2호선","영등포구청","12813","13207","20260504",""
"20260501","2호선","문래","13845","14991","20260504",""
"20260501","2호선","신도림","38508","37762","20260504",""
"20260501","2호선","대림(구로구청)","20702","21088","20260504",""
"20260501","2호선","구로디지털단지","37858","35789","20260504",""
"20260501","2호선","신대방","20972","19103","20260504",""
"20260501","2호선","신림","48701","46032","20260504",""
"20260501","2호선","봉천","19324","17184","20260504",""
"20260501","2호선","서울대입구(관악구청)","39676","36901","20260504",""
"20260501","2호선","낙성대(강감찬)","23700","20370","20260504",""
"20260501","2호선","방배","9876","9861","20260504",""
"20260501","2호선","서초","10518","8621","20260504",""
"20260501","2호선","교대(법원.검찰청)","15381","19794","20260504",""
"20260501","2호선","강남","56904","56781","20260504",""
"20260501","2호선","역삼","16330","18010","20260504",""
"20260501","2호선","선릉","25552","22717","20260504",""
"20260501","2호선","삼성(무역센터)","29848","28772","20260504",""
"20260501","2호선","종합운동장","21372","23806","20260504",""
"20260501","2호선","잠실새내","21228","21607","20260504",""
"20260501","2호선","잠실(송파구청)","91516","89802","20260504",""
"20260501","2호선","잠실나루","9214","8988","20260504",""
"20260501","2호선","강변(동서울터미널)","29730","33087","20260504",""
"20260501","2호선","구의(광진구청)","23368","22310","20260504",""
"20260501","2호선","건대입구","46972","46849","20260504",""
"20260501","2호선","성수","79123","95673","20260504",""
"20260501","2호선","뚝섬","34099","28078","20260504",""
"20260501","2호선","한양대","6799","6981","20260504",""
"20260501","2호선","왕십리(성동구청)","14669","13190","20260504",""
"20260501","2호선","상왕십리","11227","10307","20260504",""
"20260501","2호선","신당","14164","15105","20260504",""
"20260501","2호선","동대문역사문화공원(DDP)","18502","20928","20260504",""
"20260501","2호선","을지로4가","12345","12230","20260504",""
"20260501","2호선","을지로3가","19034","19595","20260504",""
"20260501","2호선","을지로입구","42968","41813","20260504",""
"20260501","2호선","시청","16025","12132","20260504",""
"20260501","1호선","동묘앞","15362","17663","20260504",""
"20260501","1호선","청량리(서울시립대입구)","24945","24345","20260504",""
"20260501","1호선","제기동","16771","17472","20260504",""
"20260501","1호선","신설동","11737","10682","20260504",""
"20260501","1호선","동대문","18639","18985","20260504",""
"20260501","1호선","종로5가","24893","23930","20260504",""
"20260501","1호선","종로3가","29901","27442","20260504",""
"20260501","1호선","종각","30209","27466","20260504",""
"20260501","1호선","시청","20954","20817","20260504",""
"20260501","1호선","서울역","74654","75478","20260504",""
"20260501","5호선","오금","2226","2177","20260504",""
"20260501","경의선","강매","2306","2028","20260504",""
"20260501","경의선","행신","6044","6024","20260504",""
"20260501","경의선","능곡","3703","3771","20260504",""
"20260501","경의선","곡산","530","560","20260504",""
"20260501","경의선","백마","5803","5415","20260504",""
"20260501","경의선","풍산","5686","5624","20260504",""
"20260501","경의선","일산","8426","8218","20260504",""
"20260501","경의선","탄현","6273","6096","20260504",""
"20260501","경의선","야당","7660","8110","20260504",""
"20260501","경의선","운정","7062","6625","20260504",""
"20260501","경의선","금릉","4619","4471","20260504",""
"20260501","경의선","금촌","7316","7146","20260504",""
"20260501","경의선","월롱","1341","1247","20260504",""
"20260501","경의선","파주","1179","1004","20260504",""
"20260501","경의선","문산","6226","6117","20260504",""
"20260501","경의선","임진강","108","136","20260504",""
"20260501","경의선","운천","8","8","20260504",""
"20260501","경인선","개봉","18998","17898","20260504",""
"20260501","경인선","오류동","9638","8624","20260504",""
"20260501","경인선","역곡","21950","20795","20260504",""
"20260501","경인선","부천","30361","31013","20260504",""
"20260501","경인선","송내","19615","19300","20260504",""
"20260501","경인선","부평","32007","35061","20260504",""
"20260501","경인선","백운","5706","5418","20260504",""
"20260501","경인선","동암","13672","13701","20260504",""
"20260501","경인선","주안","17523","15133","20260504",""
"20260501","경인선","제물포","8499","8090","20260504",""
"20260501","경인선","동인천","13184","13050","20260504",""
"20260501","경인선","인천","7624","6919","20260504",""
"20260501","경인선","구일","11393","11562","20260504",""
"20260501","경인선","소사","6352","5879","20260504",""
"20260501","경인선","부개","6980","6465","20260504",""
"20260501","경인선","간석","4784","4520","20260504",""
"20260501","경인선","도원","2239","2327","20260504",""
"20260501","경인선","온수(성공회대입구)","5028","4627","20260504",""
"20260501","경인선","중동","7437","6725","20260504",""
"20260501","경인선","도화","3432","3114","20260504",""
"20260501","경춘선","신내","2142","1864","20260504",""
"20260501","경춘선","갈매","2059","1831","20260504",""
"20260501","경춘선","별내","2549","2233","20260504",""
"20260501","경춘선","퇴계원","3067","2771","20260504",""
"20260501","경춘선","사릉","1857","1790","20260504",""
"20260501","경춘선","금곡","1447","1330","20260504",""
"20260501","경춘선","평내호평","6138","5783","20260504",""
"20260501","경춘선","천마산","1726","1658","20260504",""
"20260501","경춘선","마석","4569","4427","20260504",""
"20260501","경춘선","대성리","1124","5116","20260504",""
"20260501","경춘선","청평","2399","3308","20260504",""
"20260501","경춘선","상천","543","832","20260504",""
"20260501","경춘선","가평","3144","3846","20260504",""
"20260501","경춘선","굴봉산","320","333","20260504",""
"20260501","경춘선","백양리","273","240","20260504",""
"20260501","경춘선","강촌","905","1309","20260504",""
"20260501","경춘선","김유정","1094","1342","20260504",""
"20260501","경춘선","남춘천","5648","5013","20260504",""
"20260501","경춘선","춘천","3796","3034","20260504",""
"20260501","공항철도 1호선","서울역","14877","14481","20260504",""
"20260501","공항철도 1호선","공덕","2484","3328","20260504",""
"20260501","공항철도 1호선","홍대입구","24376","22493","20260504",""
"20260501","공항철도 1호선","디지털미디어시티","6664","6402","20260504",""
"20260501","안산선","산본","15383","15929","20260504",""
"20260501","공항철도 1호선","마곡나루(서울식물원)","7487","7801","20260504",""
"20260501","공항철도 1호선","김포공항","8914","4075","20260504",""
"20260501","공항철도 1호선","계양","7974","7592","20260504",""
"20260501","공항철도 1호선","검암","4756","4786","20260504",""
"20260501","공항철도 1호선","청라국제도시","6233","5894","20260504",""
"20260501","공항철도 1호선","운서","10578","11169","20260504",""
"20260501","공항철도 1호선","공항화물청사","1203","1191","20260504",""
"20260501","공항철도 1호선","인천공항1터미널","16762","13895","20260504",""
"20260501","공항철도 1호선","인천공항2터미널","13250","9764","20260504",""
"20260501","공항철도 1호선","영종","5124","5290","20260504",""
"20260501","과천선","선바위","5998","5053","20260504",""
"20260501","과천선","경마공원","10780","10762","20260504",""
"20260501","과천선","대공원","15550","16147","20260504",""
"20260501","과천선","과천","4927","3974","20260504",""
"20260501","과천선","정부과천청사","8223","8110","20260504",""
"20260501","과천선","인덕원","18395","17890","20260504",""
"20260501","과천선","평촌","10188","9498","20260504",""
"20260501","과천선","범계","24885","24656","20260504",""
"20260501","분당선","선릉","4993","7574","20260504",""
"20260501","분당선","한티","11185","11047","20260504",""
"20260501","분당선","도곡","4921","4658","20260504",""
"20260501","분당선","구룡","2215","1951","20260504",""
"20260501","분당선","개포동","2587","2567","20260504",""
"20260501","분당선","대모산입구","3839","3457","20260504",""
"20260501","분당선","수서","14605","15981","20260504",""
"20260501","분당선","수원","9787","9069","20260504",""
"20260501","분당선","서울숲","32390","30723","20260504",""
"20260501","분당선","압구정로데오","17378","19343","20260504",""
"20260501","분당선","강남구청","4673","5571","20260504",""
"20260501","분당선","선정릉","3059","2925","20260504",""
"20260501","분당선","가천대","7971","6978","20260504",""
"20260501","분당선","태평","11385","10463","20260504",""
"20260501","분당선","모란","16369","17001","20260504",""
"20260501","분당선","야탑","19454","20420","20260504",""
"20260501","분당선","서현","19781","19706","20260504",""
"20260501","분당선","수내","7857","7574","20260504",""
"20260501","분당선","정자","10996","12092","20260504",""
"20260501","분당선","미금","11111","11415","20260504",""
"20260501","분당선","오리","7794","6576","20260504",""
"20260501","분당선","이매","4176","4092","20260504",""
"20260501","분당선","보정","1742","1590","20260504",""
"20260501","분당선","죽전","11777","12811","20260504",""
"20260501","분당선","구성","6058","6231","20260504",""
"20260501","분당선","신갈","3063","3149","20260504",""
"20260501","분당선","기흥","8450","7335","20260504",""
"20260501","분당선","상갈","4554","4306","20260504",""
"20260501","분당선","청명","3705","3287","20260504",""
"20260501","분당선","영통","8165","7615","20260504",""
"20260501","분당선","망포","10922","10050","20260504",""
"20260501","분당선","매탄권선","4104","3720","20260504",""
"20260501","분당선","수원시청","11096","12761","20260504",""
"20260501","분당선","매교","3918","4219","20260504",""
"20260501","서해선","김포공항","3454","4910","20260504",""
"20260501","서해선","원종","4864","4711","20260504",""
"20260501","서해선","부천종합운동장","2063","1743","20260504",""
"20260501","수인선","고색","3551","3595","20260504",""
"20260501","수인선","오목천","3590","2772","20260504",""
"20260501","수인선","어천","1690","1476","20260504",""
"20260501","수인선","야목","604","551","20260504",""
"20260501","수인선","사리","4596","3706","20260504",""
"20260501","수인선","달월","85","83","20260504",""
"20260501","수인선","월곶","2805","2655","20260504",""
"20260501","수인선","소래포구","7812","7786","20260504",""
"20260501","수인선","인천논현","4745","5020","20260504",""
"20260501","수인선","호구포","2779","2587","20260504",""
"20260501","수인선","남동인더스파크","859","856","20260504",""
"20260501","수인선","원인재","4045","4328","20260504",""
"20260501","수인선","연수","4628","4560","20260504",""
"20260501","수인선","송도","2352","2255","20260504",""
"20260501","수인선","인하대","5875","5246","20260504",""
"20260501","수인선","숭의","3373","3120","20260504",""
"20260501","수인선","신포","1977","1827","20260504",""
"20260501","수인선","인천","1831","3197","20260504",""
"20260501","신림선","샛강","1501","1857","20260504",""
"20260501","신림선","대방","2841","1843","20260504",""
"20260501","신림선","서울지방병무청","2203","2333","20260504",""
"20260501","신림선","보라매","3131","2709","20260504",""
"20260501","신림선","보라매공원","1720","1786","20260504",""
"20260501","신림선","보라매병원","3544","3444","20260504",""
"20260501","신림선","당곡","3888","3447","20260504",""
"20260501","신림선","신림","2084","2397","20260504",""
"20260501","신림선","서원","2970","2404","20260504",""
"20260501","신림선","서울대벤처타운","8922","7498","20260504",""
"20260501","신림선","관악산(서울대)","4169","4450","20260504",""
"20260501","안산선","대야미","4913","4258","20260504",""
"20260501","안산선","반월","3879","3803","20260504",""
"20260501","안산선","상록수","13353","13406","20260504",""
"20260501","안산선","한대앞","9051","8734","20260504",""
"20260501","안산선","중앙","20185","21296","20260504",""
"20260501","안산선","고잔","8108","7961","20260504",""
"20260501","안산선","초지","3899","3653","20260504",""
"20260501","안산선","안산","12990","13801","20260504",""
"20260501","안산선","신길온천","2118","2012","20260504",""
"20260501","안산선","정왕","9340","8859","20260504",""
"20260501","안산선","오이도","9458","10301","20260504",""
"20260501","안산선","수리산","4423","4396","20260504",""
"20260501","우이신설선","북한산우이","4677","5070","20260504",""
"20260501","우이신설선","솔밭공원","2253","2084","20260504",""
"20260501","우이신설선","4.19민주묘지","3329","2913","20260504",""
"20260501","우이신설선","가오리","3327","3181","20260504",""
"20260501","우이신설선","화계","3173","2907","20260504",""
"20260501","우이신설선","삼양","2167","2104","20260504",""
"20260501","우이신설선","삼양사거리","2364","2252","20260504",""
"20260501","우이신설선","솔샘","4449","3919","20260504",""
"20260501","우이신설선","북한산보국문","5743","4526","20260504",""
"20260501","우이신설선","정릉","4441","3483","20260504",""
"20260501","우이신설선","성신여대입구(돈암)","3551","3871","20260504",""
"20260501","우이신설선","보문","1570","1503","20260504",""
"20260501","우이신설선","신설동","1874","1797","20260504",""
"20260501","일산선","원흥","8891","8226","20260504",""
"20260501","일산선","삼송","17090","16274","20260504",""
"20260501","일산선","원당","10260","9761","20260504",""
"20260501","일산선","화정","14771","15558","20260504",""
"20260501","일산선","대곡","9604","9516","20260504",""
"20260501","일산선","백석","8630","8873","20260504",""
"20260501","일산선","마두","6114","5939","20260504",""
"20260501","일산선","정발산","12828","13116","20260504",""
"20260501","일산선","주엽","7802","7422","20260504",""
"20260501","일산선","대화","8011","7278","20260504",""
"20260501","장항선","봉명","1135","1039","20260504",""
"20260501","장항선","쌍용(나사렛대)","2820","2583","20260504",""
"20260501","장항선","아산","4906","4903","20260504",""
"20260501","장항선","탕정","3024","2769","20260504",""
"20260501","장항선","배방","2172","2171","20260504",""
"20260501","장항선","온양온천","10136","10210","20260504",""
"20260501","장항선","신창(순천향대)","2334","1640","20260504",""
"20260501","중앙선","회기","24317","20665","20260504",""
"20260501","중앙선","중랑","5075","4814","20260504",""
"20260501","중앙선","상봉","6206","5830","20260504",""
"20260501","중앙선","망우","7520","7176","20260504",""
"20260501","중앙선","양원","2377","2357","20260504",""
"20260501","중앙선","구리","6928","7755","20260504",""
"20260501","중앙선","도농","8110","7587","20260504",""
"20260501","중앙선","양정","543","534","20260504",""
"20260501","중앙선","덕소","5272","5474","20260504",""
"20260501","중앙선","도심","2370","1942","20260504",""
"20260501","중앙선","팔당","1577","1977","20260504",""
"20260501","중앙선","운길산","1709","1831","20260504",""
"20260501","중앙선","양수","2955","2909","20260504",""
"20260501","중앙선","신원","311","264","20260504",""
"20260501","중앙선","국수","848","880","20260504",""
"20260501","중앙선","아신","704","736","20260504",""
"20260501","중앙선","오빈","317","381","20260504",""
"20260501","중앙선","양평","3683","4115","20260504",""
"20260501","중앙선","원덕","499","579","20260504",""
"20260501","중앙선","용문","2799","3261","20260504",""
"20260501","중앙선","지평","50","93","20260504",""
"20260501","경의선","수색","2020","1960","20260504",""
"20260501","경의선","디지털미디어시티","2467","2207","20260504",""
"20260501","경의선","가좌","4970","4450","20260504",""
"20260501","경의선","홍대입구","3669","4566","20260504",""
"20260501","경의선","서강대","2184","1949","20260504",""
"20260501","경의선","공덕","3502","2625","20260504",""
"20260501","경의선","효창공원앞","2227","2435","20260504",""
"20260501","경의선","신촌","419","417","20260504",""
"20260501","경의선","서울역","1667","1624","20260504",""
"20260501","경원선","연천","1780","1902","20260504",""
"20260501","경원선","전곡","1654","1852","20260504",""
"20260501","경원선","청산","186","148","20260504",""
"20260501","경원선","소요산","3326","3391","20260504",""
"20260501","경원선","동두천","1555","1546","20260504",""
"20260501","경원선","보산","1820","1452","20260504",""
"20260501","경원선","동두천중앙","2808","2813","20260504",""
"20260501","경원선","지행","6781","6618","20260504",""
"20260501","경원선","덕정","5349","4905","20260504",""
"20260501","경원선","덕계","5900","5511","20260504",""
"20260501","경원선","양주","6960","6827","20260504",""
"20260501","경원선","녹양","3836","3680","20260504",""
"20260501","경원선","가능","5429","5103","20260504",""
"20260501","경원선","의정부","19516","20535","20260504",""
"20260501","경원선","회룡","11622","11409","20260504",""
"20260501","경원선","망월사","6744","6742","20260504",""
"20260501","경원선","도봉산","9862","7169","20260504",""
"20260501","경원선","도봉","4895","4552","20260504",""
"20260501","경원선","방학","8867","8461","20260504",""
"20260501","경원선","창동","18","5","20260504",""
"20260501","경원선","녹천","3372","2834","20260504",""
"20260501","경원선","월계","5481","4929","20260504",""
"20260501","경원선","광운대","7134","6366","20260504",""
"20260501","경원선","석계","7086","7239","20260504",""
"20260501","경원선","신이문","7024","6302","20260504",""
"20260501","경원선","외대앞","10761","9458","20260504",""
"20260501","경원선","청량리(서울시립대입구)","21572","22518","20260504",""
"20260501","경원선","왕십리(성동구청)","17005","17025","20260504",""
"20260501","경원선","응봉","2460","2005","20260504",""
"20260501","경원선","옥수","57","53","20260504",""
"20260501","경원선","한남","2676","2618","20260504",""
"20260501","경원선","서빙고","2055","1919","20260504",""
"20260501","경원선","이촌(국립중앙박물관)","3751","2982","20260504",""
"20260501","경부선","광명","3176","3080","20260504",""
"20260501","경부선","서동탄","1323","1367","20260504",""
"20260501","경부선","당정","4660","4259","20260504",""
"20260501","경부선","천안","9809","10557","20260504",""
"20260501","경부선","두정","9453","8686","20260504",""
"20260501","경부선","직산","1151","1140","20260504",""
"20260501","경부선","성환","4708","4135","20260504",""
"20260501","경부선","평택","18047","17192","20260504",""
"20260501","경부선","평택지제","4682","4705","20260504",""
"20260501","경부선","서정리","9650","8662","20260504",""
"20260501","경부선","송탄","5406","4809","20260504",""
"20260501","경부선","진위","1311","1131","20260504",""
"20260501","경부선","오산","12131","11885","20260504",""
"20260501","경부선","오산대","4262","3971","20260504",""
"20260501","경부선","세마","3240","2854","20260504",""
"20260501","경부선","병점","15051","15544","20260504",""
"20260501","경부선","세류","3298","3451","20260504",""
"20260501","경부선","독산","10110","9209","20260504",""
"20260501","경부선","수원","52576","57554","20260504",""
"20260501","경부선","화서","14126","13903","20260504",""
"20260501","경부선","성균관대","13473","12550","20260504",""
"20260501","경부선","의왕","6639","6366","20260504",""
"20260501","경부선","군포","4201","3724","20260504",""
"20260501","경부선","금정","22363","22017","20260504",""
"20260501","경부선","명학","4412","4208","20260504",""
"20260501","경부선","안양","20085","19709","20260504",""
"20260501","경부선","관악","6004","5987","20260504",""
"20260501","경부선","석수","6733","6154","20260504",""
"20260501","경부선","금천구청","8446","8251","20260504",""
"20260501","경부선","가산디지털단지","7195","8944","20260504",""
"20260501","경부선","구로","13393","13834","20260504",""
"20260501","경부선","신길","6665","5817","20260504",""
"20260501","경부선","신도림","3273","3700","20260504",""
"20260501","경부선","영등포","45290","47840","20260504",""
"20260501","경부선","대방","6674","6863","20260504",""
"20260501","경부선","노량진","10074","9529","20260504",""
"20260501","경부선","용산","64668","72258","20260504",""
"20260501","경부선","남영","7070","7270","20260504",""
"20260501","경부선","서울역","12030","4147","20260504",""
"20260501","경강선","성남","1092","1053","20260504",""
"20260501","경강선","여주","4375","4995","20260504",""
"20260501","경강선","세종대왕릉","507","536","20260504",""
"20260501","경강선","부발","2549","2427","20260504",""
"20260501","경강선","이천","3880","3993","20260504",""
"20260501","경강선","신둔도예촌","1674","1841","20260504",""
"20260501","경강선","곤지암","2345","2425","20260504",""
"20260501","경강선","초월","3070","2857","20260504",""
"20260501","경강선","경기광주","7053","6671","20260504",""
"20260501","경강선","삼동","1898","1763","20260504",""
"20260501","경강선","이매","964","810","20260504",""
"20260501","경강선","판교","4905","4401","20260504",""
"20260501","9호선2~3단계","중앙보훈병원","6707","6094","20260504",""
"20260501","9호선2~3단계","둔촌오륜","2972","2863","20260504",""
"20260501","9호선2~3단계","올림픽공원(한국체대)","17398","18238","20260504",""
"20260501","9호선2~3단계","한성백제","3639","2882","20260504",""
"20260501","9호선2~3단계","송파나루","5439","5524","20260504",""
"20260501","9호선2~3단계","석촌","9116","7949","20260504",""
"20260501","9호선2~3단계","석촌고분","5646","5246","20260504",""
"20260501","9호선2~3단계","삼전","6284","5726","20260504",""
"20260501","9호선2~3단계","종합운동장","5997","5461","20260504",""
"20260501","9호선2~3단계","봉은사","14925","16216","20260504",""
"20260501","9호선2~3단계","삼성중앙","3681","3608","20260504",""
"20260501","9호선2~3단계","선정릉","4708","5281","20260504",""
"20260501","9호선2~3단계","언주","4992","5042","20260504",""
"20260501","9호선","신논현","26807","28013","20260504",""
"20260501","9호선","사평","2775","2622","20260504",""
"20260501","9호선","고속터미널","20932","32541","20260504",""
"20260501","9호선","신반포","3999","4079","20260504",""
"20260501","9호선","구반포","714","742","20260504",""
"20260501","9호선","동작(현충원)","2041","2012","20260504",""
"20260501","9호선","흑석(중앙대입구)","6563","6267","20260504",""
"20260501","9호선","노들","3829","3163","20260504",""
"20260501","9호선","노량진","24110","23317","20260504",""
"20260501","9호선","샛강","3805","3309","20260504",""
"20260501","9호선","여의도","18240","17516","20260504",""
"20260501","9호선","국회의사당","7226","7219","20260504",""
"20260501","9호선","당산","14963","13892","20260504",""
"20260501","9호선","선유도","6505","6412","20260504",""
"20260501","9호선","신목동","3301","2812","20260504",""
"20260501","9호선","염창","14268","12475","20260504",""
"20260501","9호선","등촌","8873","8162","20260504",""
"20260501","9호선","증미","4083","3612","20260504",""
"20260501","9호선","가양","15604","14269","20260504",""
"20260501","9호선","양천향교","6908","6194","20260504",""
"20260501","9호선","마곡나루(서울식물원)","11107","10974","20260504",""
"20260501","9호선","신방화","4994","4704","20260504",""
"20260501","9호선","공항시장","2246","2305","20260504",""
"20260501","9호선","김포공항","6097","11822","20260504",""
"20260501","9호선","개화","1822","1382","20260504",""
"20260501","8호선","남위례","5832","5691","20260504",""
"20260501","8호선","모란","4612","3861","20260504",""
"20260501","8호선","수진","4782","4319","20260504",""
"20260501","8호선","신흥","4786","4850","20260504",""
"20260501","8호선","단대오거리","9397","8398","20260504",""
"20260501","8호선","남한산성입구(성남법원.검찰청)","9590","7970","20260504",""
"20260501","8호선","산성","4895","4946","20260504",""
"20260501","8호선","복정","6043","5283","20260504",""
"20260501","8호선","장지","13702","12552","20260504",""
"20260501","8호선","문정","8759","8713","20260504",""
"20260501","8호선","가락시장","6259","7082","20260504",""
"20260501","8호선","송파","7376","6909","20260504",""
"20260501","8호선","석촌","7765","9403","20260504",""
"20260501","8호선","잠실(송파구청)","22268","26014","20260504",""
"20260501","8호선","몽촌토성(평화의문)","8265","8604","20260504",""
"20260501","8호선","강동구청","7366","7070","20260504",""
"20260501","8호선","천호(풍납토성)","15852","18149","20260504",""
"20260501","8호선","암사","12547","11587","20260504",""
"20260501","8호선","암사역사공원","5286","4513","20260504",""
"20260501","7호선","온수(성공회대입구)","5619","5506","20260504",""
"20260501","7호선","천왕","7786","7289","20260504",""
"20260501","7호선","광명사거리","18837","18158","20260504",""
"20260501","7호선","철산","16947","16738","20260504",""
"20260501","7호선","가산디지털단지","16489","15045","20260504",""
"20260501","7호선","남구로","8745","8625","20260504",""
"20260501","7호선","대림(구로구청)","9403","9311","20260504",""
"20260501","7호선","신풍","8313","7589","20260504",""
